English Word	Emotion	Emotion-Intensity-Score	Persian Word
adoration	joy	0.688	پرستش
godsend	joy	0.688	نعمت خدا
favorite	joy	0.688	مورد علاقه
content	joy	0.688	محتوا
entertaining	joy	0.688	سرگرم کننده
honored	joy	0.688	مفتخر شد
metime	joy	0.688	زمان
exquisite	joy	0.688	نفیس
holidayseason	joy	0.688	فصل تعطیلی
thankyoujesus	joy	0.688	ممنونم
angelic	joy	0.688	فرشته ای
goodhealth	joy	0.682	سلامتی
majestic	joy	0.682	با شکوه
luscious	joy	0.682	خوش طعم
memoriesiwontforget	joy	0.682	خاطرات فراموش نمی کنند
bestfriends	joy	0.682	بهترین دوستان
precious	joy	0.682	گرانبها
appreciated	joy	0.682	استقبال مینماید
exaltation	joy	0.682	تعالی
smiled	joy	0.682	لبخند زد
brightens	joy	0.682	روشن می کند
tranquility	joy	0.679	آرامش
marry	joy	0.676	ازدواج کن
embrace	joy	0.676	پذیرفتن
positively	joy	0.676	مثبت
grin	joy	0.672	پوزخند
hug	joy	0.672	در آغوش گرفتن
hilarious	joy	0.672	خنده دار
dearest	joy	0.672	عزیزترین
contentment	joy	0.672	قناعت
accomplished	joy	0.672	انجام شد
relaxation	joy	0.672	آرامش
bday	joy	0.672	روز
enliven	joy	0.672	زنده کردن
weeeee	joy	0.672	وییییی
giggles	joy	0.672	می خندد
fulfilled	joy	0.667	برآورده شد
bountiful	joy	0.667	بخشنده
victor	joy	0.667	پیروز
adore	joy	0.667	عشق ورزیدن
boisterous	joy	0.667	پر شور
fulfill	joy	0.664	برآورده کند
cuddles	joy	0.662	نوازش
prosperous	joy	0.660	موفق
appreciation	joy	0.656	قدردانی
serenity	joy	0.656	آرامش
happynewyear	joy	0.656	سال نو مبارک
humor	joy	0.656	شوخ طبعی
satisfy	joy	0.656	راضی کردن
besties	joy	0.656	بهترین ها
encouraged	joy	0.656	تشویق شد
captivate	joy	0.656	اسیر کردن
christmaseve	joy	0.656	شب کریسمس
glow	joy	0.656	درخشش
romanticism	joy	0.656	رمانتیسم
innerpeace	joy	0.656	آرامش درونی
pleasant	joy	0.656	دلپذیر
praises	joy	0.652	ستایش می کند
abundance	joy	0.652	فراوانی
fortunes	joy	0.652	ثروت
engaged	joy	0.652	نامزد شده
praised	joy	0.652	ستایش کرد
relaxing	joy	0.652	آرامش بخش
treasure	joy	0.652	گنج
satisfaction	joy	0.652	رضایت
nothingbetter	joy	0.647	هیچ چیز بهتر نیست
affection	joy	0.647	محبت
relieved	joy	0.647	راحت شد
complement	joy	0.647	متمم
carnival	joy	0.643	کارناوال
priceless	joy	0.641	بسیار گرانبها
uplifting	joy	0.641	نشاط بخش
sensuality	joy	0.641	حسی
saintly	joy	0.641	مقدس
champion	joy	0.641	قهرمان
thanksgiving	joy	0.641	شکرگزاری
harmoniously	joy	0.641	به طور هماهنگ
wedding	joy	0.641	عروسی
achieve	joy	0.641	رسیدن
divine	joy	0.641	الهی
jackpot	joy	0.641	برنده تمام پولها
honeymoon	joy	0.636	ماه عسل
exalt	joy	0.636	تعالی بخشید
twinkle	joy	0.636	چشمک زدن
comforting	joy	0.636	آرامش بخش
felicity	joy	0.636	سعادت
peaceful	joy	0.636	صلح آمیز
climax	joy	0.636	به اوج رسیدن
winner	joy	0.636	برنده
reverie	joy	0.636	خیال پردازی
yayy	joy	0.636	آری
cuddle	joy	0.636	در اغوش گرفتن
xoxo	joy	0.634	xoxo
stargazing	joy	0.625	رصد ستاره ها
festival	joy	0.625	جشنواره
sweet	joy	0.625	شیرین
generosity	joy	0.625	سخاوت
brighter	joy	0.625	روشن تر
praisegod	joy	0.625	ستایش خدا
gorgeous	joy	0.625	جذاب
hearts	joy	0.625	قلبها
amusing	joy	0.625	سرگرم کننده
fondness	joy	0.625	علاقه
snuggling	joy	0.625	در آغوش گرفتن
reward	joy	0.625	جایزه
sex	joy	0.622	رابطه ی جنسی
kind	joy	0.621	نوع
genial	joy	0.621	دلپذیر
parade	joy	0.621	رژه
applause	joy	0.621	تشویق و تمجید
beauty	joy	0.621	زیبایی
fulfilling	joy	0.618	انجام
aspiring	joy	0.618	مشتاق
newlife	joy	0.618	زندگی جدید
godbless	joy	0.616	خدا رحمت کند
virtuous	joy	0.613	با فضیلت
kiss	joy	0.610	بوسه
christmas	joy	0.609	کریسمس
rainbows	joy	0.609	رنگین کمان ها
elegance	joy	0.609	ظرافت
generous	joy	0.609	سخاوتمندانه
super	joy	0.609	فوق العاده
playful	joy	0.609	بازیگوش
enlightenment	joy	0.609	روشنگری
praiseworthy	joy	0.609	قابل ستایش
awards	joy	0.609	جوایز
adorable	joy	0.609	شایان ستایش
rekindle	joy	0.609	دوباره روشن کردن
winnings	joy	0.609	برنده ها
independence	joy	0.607	استقلال
amour	joy	0.607	عشق
kindness	joy	0.606	مهربانی
surprises	joy	0.606	شگفتی ها
heheh	joy	0.606	ههه
hilarity	joy	0.606	شادی
wonder	joy	0.606	تعجب
freely	joy	0.606	آزادانه
successful	joy	0.606	موفقیت آمیز
inspired	joy	0.606	الهام گرفته
onelove	joy	0.606	یک عشق
whimsical	joy	0.603	غریب
entertainment	joy	0.603	سرگرمی
passion	joy	0.603	شور
stressfree	joy	0.601	بدون استرس
beautify	joy	0.601	زیبا کردن
sunrise	joy	0.600	طلوع خورشید
godisgood	joy	0.597	خدا خوب است
goodmusic	joy	0.594	موسیقی خوب
revere	joy	0.594	احترام
whoo	joy	0.594	اووو
fanfare	joy	0.594	هیاهو
inspire	joy	0.594	الهام بخشیدن
angel	joy	0.594	فرشته
thankgod	joy	0.594	خدا را شکر
goodies	joy	0.594	خوبی ها
jesus	joy	0.594	عیسی
accomplishment	joy	0.594	دستاورد
snuggled	joy	0.594	در آغوش گرفته است
peacefully	joy	0.594	به صورت مسالمت آمیز
flirt	joy	0.594	معاشقه
friendship	joy	0.591	دوستی
singing	joy	0.591	آواز خواندن
heroic	joy	0.591	قهرمانانه
exalted	joy	0.591	سرافراز
fortune	joy	0.591	ثروت
highest	joy	0.591	بالاترین
summer	joy	0.591	تابستان
contented	joy	0.588	راضی
rollicking	joy	0.588	غلت زدن
overflowing	joy	0.588	سرریز
woot	joy	0.588	woot
accolade	joy	0.586	تحسین
hope	joy	0.586	امید
cozy	joy	0.583	دنج
delicious	joy	0.579	خوشمزه - لذیذ
raving	joy	0.578	جسور
thelife	joy	0.578	زندگی
darling	joy	0.578	عزیز
sensuous	joy	0.578	حسی
picturesque	joy	0.578	زیبا
friendly	joy	0.578	دوستانه
everlasting	joy	0.578	ابدی
praise	joy	0.578	ستایش
ambition	joy	0.578	هدف - آرزو
sparkle	joy	0.577	درخشش
sensual	joy	0.576	حسی
peace	joy	0.576	صلح
flattering	joy	0.576	چاپلوس
grace	joy	0.576	رحمت
luckygirl	joy	0.576	دختر خوش شانس
heroism	joy	0.576	قهرمانی
succeeding	joy	0.576	موفق شدن
yeahhh	joy	0.576	آره
special	joy	0.574	خاص
livelife	joy	0.574	زندگی زنده
tantalizing	joy	0.572	وسوسه انگیز
pumped	joy	0.567	پمپاژ شده است
yey	joy	0.562	بله
surprise	joy	0.562	تعجب
sunny	joy	0.562	آفتابی
prevail	joy	0.562	غالب شدن پیروز شدن چیره شدن
revels	joy	0.562	شادی می کند
humorous	joy	0.562	طنز
sweets	joy	0.562	شیرینی ها
liking	joy	0.562	دوست داشتن
admirable	joy	0.562	قابل تحسین
superstar	joy	0.562	فوق ستاره
relax	joy	0.562	آروم باش
prosper	joy	0.562	رونق
hero	joy	0.562	قهرمان
hugs	joy	0.562	آغوش
worthwhile	joy	0.562	با ارزش
newyear	joy	0.561	سال نو
tenderness	joy	0.561	لطافت
bless	joy	0.561	برکت دادن
favorable	joy	0.561	مطلوب
freedom	joy	0.561	آزادی
masterpiece	joy	0.561	شاهکار
dreams	joy	0.559	رویاها
hopeful	joy	0.559	امیدوار کننده
home	joy	0.559	خانه
cruising	joy	0.556	کروز
gracias	joy	0.554	لطف
faithfulness	joy	0.553	وفاداری
eagerness	joy	0.552	اشتیاق
closeness	joy	0.552	نزدیکی
sunshine	joy	0.551	آفتاب
comfy	joy	0.551	راحت
vacation	joy	0.547	تعطیلات
celestial	joy	0.547	آسمانی
good	joy	0.547	خوب
elite	joy	0.547	نخبه
illuminate	joy	0.547	روشن کردن
confidence	joy	0.547	اعتماد به نفس
mistletoe	joy	0.547	دارواش
daughter	joy	0.547	فرزند دختر
lifted	joy	0.547	برداشته شد
goodmorning	joy	0.547	صبح بخیر
zeal	joy	0.547	غیرت
gifts	joy	0.547	هدایا
gift	joy	0.547	هدیه
astonishment	joy	0.547	حیرت، شگفتی
heart	joy	0.547	قلب
completion	joy	0.547	تکمیل
bonus	joy	0.547	جایزه
charmed	joy	0.546	افسون شده
dance	joy	0.545	رقصیدن
sublime	joy	0.545	عالی
recreation	joy	0.545	تفریحی
encouragement	joy	0.545	تشویق
god	joy	0.545	خداوند
gush	joy	0.545	فوران
freshstart	joy	0.544	تازه شروع
free	joy	0.544	رایگان
savior	joy	0.543	نجات دهنده
sanctuary	joy	0.541	جایگاه مقدس
grandchildren	joy	0.540	نوه ها
wellness	joy	0.537	سلامتی
revel	joy	0.534	شادی کردن
music	joy	0.531	موسیقی
fab	joy	0.531	عالی
bridal	joy	0.531	عروس
soar	joy	0.531	اوج گرفتن
alive	joy	0.531	زنده
money	joy	0.531	پول
soothing	joy	0.531	آرامش بخش
serene	joy	0.531	آرام
holiness	joy	0.531	تقدس
inspirational	joy	0.531	الهام بخش
matrimony	joy	0.531	ازدواج
dayoff	joy	0.531	مرخصی روزانه
savor	joy	0.531	مزه
vitality	joy	0.531	سرزندگی
confident	joy	0.531	مطمئن
firstborn	joy	0.531	اول زاده
rainbow	joy	0.531	رنگین کمان
liberation	joy	0.531	رهایی
elegant	joy	0.530	ظریف
mastery	joy	0.530	تسلط
glimmer	joy	0.530	با روشنایی ضعیف تابیدن
illumination	joy	0.530	روشنایی
blossom	joy	0.530	شکوفه - گل
warmth	joy	0.530	گرما
welcomed	joy	0.530	استقبال کرد
treat	joy	0.529	درمان شود
faithful	joy	0.529	با ایمان
snuggles	joy	0.522	بغل می کند
laurels	joy	0.521	پیروزی ها
commendable	joy	0.519	قابل ستایش
succeed	joy	0.516	موفق شدن
jingle	joy	0.516	جرنگ جرنگ
zest	joy	0.516	شوق و شور
noschool	joy	0.516	هیچ مدرسه
brotherly	joy	0.516	برادرانه
silly	joy	0.516	احمقانه
abundant	joy	0.516	فراوان
fancy	joy	0.516	تفننی
resplendent	joy	0.516	درخشان
strengthening	joy	0.516	تقویت کردن
presents	joy	0.516	هدیه
pride	joy	0.516	غرور
almighty	joy	0.516	خداوند متعال
powerful	joy	0.516	قدرتمند
aspire	joy	0.516	آرزو می کنم
remarkable	joy	0.516	قابل توجه
greeted	joy	0.516	استقبال
thanking	joy	0.515	سپاسگزار
cutie	joy	0.515	عیار
kudos	joy	0.515	ستایش
therapeutic	joy	0.515	درمانی
zen	joy	0.515	ذن
coronation	joy	0.515	تاج گذاری
complete	joy	0.515	کامل
shining	joy	0.515	درخشان
spirit	joy	0.515	روح
princely	joy	0.515	شاهزاده
vivid	joy	0.515	واضح
comfort	joy	0.515	راحتی
leisure	joy	0.515	اوقات فراغت
reunited	joy	0.515	دوباره متحد شد
kid	joy	0.515	بچه
newme	joy	0.515	من جدید
payday	joy	0.515	روز پرداخت
animated	joy	0.515	متحرک
familytime	joy	0.515	زمان خانواده
relationship	joy	0.514	ارتباط
godly	joy	0.514	خداپسندانه
marriage	joy	0.514	ازدواج
daymade	joy	0.514	روز ساخته شده
spouse	joy	0.507	همسر
intimately	joy	0.507	از نزدیک
respect	joy	0.500	توجه
bloom	joy	0.500	شکوفه
purr	joy	0.500	خرخر کردن
carefree	joy	0.500	بی خیال
nature	joy	0.500	طبیعت
encourage	joy	0.500	تشويق كردن
soulful	joy	0.500	روح انگیز
refreshed	joy	0.500	تازه شده
family	joy	0.500	خانواده
gem	joy	0.500	گوهر
meritorious	joy	0.500	شایسته
achieved	joy	0.500	به دست آورد
motherhood	joy	0.500	مادر شدن
holyspirit	joy	0.500	روح مقدس
surreal	joy	0.500	سورئال
charitable	joy	0.500	خیریه
teamjesus	joy	0.500	تیم جسوس
stressrelief	joy	0.500	تسکین استرس
erotic	joy	0.500	وابسته به عشق شهوانی
inviting	joy	0.500	دعوت کردن
baby	joy	0.500	عزیزم
dignity	joy	0.500	کرامت
satisfied	joy	0.500	راضی
visionary	joy	0.500	رویایی
memorable	joy	0.500	بیاد ماندنی
veracity	joy	0.500	صحت
healthy	joy	0.500	سالم
welcoming	joy	0.500	استقبال کردن
diamond	joy	0.500	الماس
christ	joy	0.500	مسیح
beach	joy	0.500	ساحل دریا
accomplish	joy	0.500	انجام دهد
friends	joy	0.500	دوستان
excel	joy	0.500	برتری داشتن
health	joy	0.493	سلامتی
aura	joy	0.493	هاله
yehey	joy	0.486	هی
approved	joy	0.486	تایید شده
oasis	joy	0.486	واحه
liberty	joy	0.486	آزادی
crowning	joy	0.485	تاج گذاری
aspiration	joy	0.485	تنفس
privileged	joy	0.485	ممتاز
crescendo	joy	0.485	اوج
rapture	joy	0.485	لذت بردن
liberate	joy	0.485	آزاد کردن
nocomplaints	joy	0.485	بدون شکایت
prestige	joy	0.485	اعتبار
bounty	joy	0.485	فضل
gentle	joy	0.485	ملایم
inseparable	joy	0.485	جدایی ناپذیر
engaging	joy	0.485	درگیر کننده
loyal	joy	0.485	وفادار
betrothed	joy	0.485	نامزد شده
transcendence	joy	0.484	تعالی
selfworth	joy	0.484	ارزش خود
yummy	joy	0.484	لذیذ
datenight	joy	0.484	قرار شبانه
destiny	joy	0.484	سرنوشت
heyday	joy	0.484	اوج
aloha	joy	0.484	aloha
desire	joy	0.484	میل
dream	joy	0.484	رویا
luck	joy	0.484	شانس
fete	joy	0.484	جشن
trophy	joy	0.484	جام
bouquet	joy	0.484	دسته گل
chocolate	joy	0.484	شکلات
creativity	joy	0.484	خلاقیت
boyfriend	joy	0.480	دوست پسر
commemoration	joy	0.479	بزرگداشت
intelligence	joy	0.477	هوش
readiness	joy	0.473	آمادگی
friend	joy	0.471	دوست
bride	joy	0.471	عروس
enthusiast	joy	0.471	علاقهمند
lush	joy	0.470	سرسبز
inheritance	joy	0.470	وراثت
soothe	joy	0.470	آرام کردن
tickle	joy	0.470	قلقلک دادن
kiddo	joy	0.470	بچه
nostalgia	joy	0.470	نوستالژی
massage	joy	0.470	ماساژ دادن
calming	joy	0.470	فرو نشاندن
adventure	joy	0.470	ماجرا
pretty	joy	0.469	بسیار
purring	joy	0.469	خرخر کردن
eternal	joy	0.469	ابدی
humanitarian	joy	0.469	بشردوستانه
nurture	joy	0.469	پرورش دادن
giving	joy	0.469	دادن
rest	joy	0.469	باقی مانده
getaway	joy	0.469	فرار
goals	joy	0.469	اهداف
pray	joy	0.469	نماز خواندن
bridegroom	joy	0.469	داماد
heartily	joy	0.469	از صمیم قلب
luster	joy	0.469	درخشش
bonding	joy	0.469	پیوند
princess	joy	0.469	شاهزاده
amicable	joy	0.469	دوستانه
benevolence	joy	0.469	خیرخواهی
child	joy	0.466	کودک
salutary	joy	0.465	مفید
invite	joy	0.457	دعوت
beam	joy	0.456	پرتو
reminiscing	joy	0.456	یادآوری خاطرات
befriend	joy	0.455	دوست شدن
aesthetics	joy	0.455	زیبایی شناسی
friday	joy	0.455	جمعه
freshair	joy	0.455	هوای تازه
ceremony	joy	0.455	مراسم
kindred	joy	0.455	خویشاوندی
mindfulness	joy	0.455	ذهن آگاهی
sonice	joy	0.455	خیلی خوب
elevation	joy	0.455	ارتفاع
tropical	joy	0.455	گرمسیری
scholarship	joy	0.455	بورس تحصیلی
hee	joy	0.455	هی
noworries	joy	0.453	نگرانی ها
allure	joy	0.453	جذابیت
approve	joy	0.453	تایید
scenery	joy	0.453	منظره
waterfall	joy	0.453	آبشار
vindication	joy	0.453	توجیه
namaste	joy	0.453	ناماسته
commemorate	joy	0.453	بزرگداشت
faith	joy	0.453	ایمان
birth	joy	0.453	تولد
forgiveness	joy	0.453	بخشش
journey	joy	0.447	سفر
meditation	joy	0.446	مراقبه
relaxed	joy	0.442	آرام
present	joy	0.441	حاضر
weekend	joy	0.441	تعطیلات آخر هفته
tender	joy	0.441	مناقصه
tranquil	joy	0.441	آرام
lyrical	joy	0.439	بزمی، غزلی
sharing	joy	0.439	اشتراک گذاری
esteem	joy	0.439	احترام
nostalgic	joy	0.439	نوستالژیک
prayer	joy	0.439	دعا
righteousness	joy	0.439	عدالت
husband	joy	0.438	شوهر
relief	joy	0.438	تسکین
strength	joy	0.438	استحکام - قدرت
mighty	joy	0.438	توانا
unbeaten	joy	0.438	شکست ناپذیر
eager	joy	0.438	مشتاق
share	joy	0.438	اشتراک گذاری
newday	joy	0.438	روز جدید
sonnet	joy	0.438	غزل
meditate	joy	0.438	مدیتیشن
life	joy	0.438	زندگی
winterbreak	joy	0.429	تعطیلات زمستانی
warm	joy	0.429	گرم
movingforward	joy	0.429	حرکت رو به جلو
buddy	joy	0.427	رفیق
oneness	joy	0.426	یگانگی
unconstrained	joy	0.424	بدون محدودیت
amen	joy	0.424	آمین
reverence	joy	0.424	احترام
healthful	joy	0.424	سالم
thelittlethings	joy	0.424	چیز های کوچک
medal	joy	0.424	مدال
unsurpassed	joy	0.424	بی نظیر
candlelight	joy	0.424	نور شمع
carols	joy	0.424	سرود
ejaculation	joy	0.424	انزال
beginnings	joy	0.422	آغاز
sledding	joy	0.422	سورتمه سواری
graduation	joy	0.422	فارغ التحصیلی
frisky	joy	0.422	دمدمی مزاج
lml	joy	0.422	lml
ease	joy	0.422	سهولت
symphony	joy	0.422	سمفونی
wealth	joy	0.422	ثروت
helpful	joy	0.422	مفید
musical	joy	0.422	موزیکال
glitter	joy	0.422	زرق و برق
calmness	joy	0.422	آرامش
energy	joy	0.422	انرژی
safe	joy	0.422	بی خطر
nostress	joy	0.421	بدون استرس
soundness	joy	0.421	سالم بودن
promise	joy	0.415	وعده
reunite	joy	0.414	اتحاد دوباره
mother	joy	0.412	مادر
salvation	joy	0.412	رستگاری
poems	joy	0.412	اشعار
clown	joy	0.409	دلقک
lavender	joy	0.409	اسطوخودوس
immaculate	joy	0.409	معصوم
purify	joy	0.409	خالص - تصفیه
inauguration	joy	0.409	افتتاح
aromatherapy	joy	0.409	رایحه درمانی
lighten	joy	0.409	سبک کردن
travel	joy	0.409	مسافرت رفتن
cash	joy	0.406	پول نقد
companion	joy	0.406	همراه و همدم
live	joy	0.406	زنده
opportune	joy	0.406	مناسب
completing	joy	0.406	در حال تکمیل
charity	joy	0.406	خیریه
heal	joy	0.406	شفا دادن
star	joy	0.406	ستاره
wishing	joy	0.406	با آرزوی
flowers	joy	0.406	گل ها
income	joy	0.403	درآمد
soul	joy	0.401	روح
munchies	joy	0.400	کره خوری
emancipation	joy	0.397	آزادی
indescribable	joy	0.397	غیر قابل توصیف
progress	joy	0.397	پیش رفتن
equality	joy	0.394	برابری
childhood	joy	0.394	دوران کودکی
together	joy	0.394	با یکدیگر
rhythmical	joy	0.394	ریتمیک
fullness	joy	0.394	پر بودن
calm	joy	0.394	آرام
hammock	joy	0.394	ننو
picnic	joy	0.394	پیک نیک
movies	joy	0.393	فیلم ها
zealous	joy	0.393	غیرتمند
playground	joy	0.391	زمین بازی
affluence	joy	0.391	ثروتمندی
warms	joy	0.391	گرم می کند
choir	joy	0.391	گروه کر
littlethings	joy	0.391	چیزهای کوچک
auspicious	joy	0.391	خوشحالی
meaningful	joy	0.391	معنی دار
adventures	joy	0.391	ماجراهای
goofy	joy	0.391	مسخره
starry	joy	0.391	ستاره دار
humanity	joy	0.391	بشریت
gesture	joy	0.387	ژست
witty	joy	0.382	شوخ
vow	joy	0.382	نذر
shopping	joy	0.382	خريد كردن
vibes	joy	0.379	ارتعاشات
worship	joy	0.379	عبادت
jump	joy	0.379	پرش
communion	joy	0.379	اشتراک
reverend	joy	0.377	بزرگوار
rising	joy	0.375	رو به افزایش
advance	joy	0.375	پیشرفت
beaches	joy	0.375	سواحل
sonorous	joy	0.375	پر صدا
courtship	joy	0.375	خواستگاری
experience	joy	0.375	تجربه
reunion	joy	0.375	تجدید دیدار
simplicity	joy	0.375	سادگی
full	joy	0.375	پر شده
hymn	joy	0.375	سرود
spirits	joy	0.375	ارواح
unforgettable	joy	0.375	فراموش نشدنی
mirth	joy	0.375	شادی
youth	joy	0.375	جوانان
scenic	joy	0.375	خوش منظره
unique	joy	0.375	منحصر بفرد
redeemed	joy	0.375	بازخرید شده است
alliance	joy	0.368	اتحاد
baptismal	joy	0.368	غسل تعمید
grant	joy	0.366	اعطا کردن
kitten	joy	0.364	بچه گربه
sanctification	joy	0.364	تقدیس
conciliation	joy	0.364	آشتی
improves	joy	0.364	بهبود می بخشد
pure	joy	0.364	خالص
improve	joy	0.364	بهتر کردن
authentic	joy	0.364	معتبر
moonlight	joy	0.364	مهتاب
weightloss	joy	0.362	کاهش وزن
raspberries	joy	0.360	تمشک
feeling	joy	0.359	احساس
jest	joy	0.359	شوخی
independent	joy	0.359	مستقل
sanctify	joy	0.359	تقدیس کردن
devotional	joy	0.359	عبادی
tinsel	joy	0.359	قلوه سنگ
proficiency	joy	0.359	مهارت
listenting	joy	0.359	گوش دادن
fidelity	joy	0.359	وفاداری
revival	joy	0.359	احیای
giver	joy	0.353	بخشنده
cocoa	joy	0.353	کاکائو
deliverance	joy	0.348	رهایی، رستگاری
melody	joy	0.348	ملودی
unification	joy	0.348	اتحاد
romp	joy	0.348	جست و خیز کردن
purpose	joy	0.348	هدف
choral	joy	0.348	کرال
exceed	joy	0.348	تجاوز
dolphin	joy	0.348	دلفین
roaring	joy	0.348	غرش
favor	joy	0.348	لطف
hotyoga	joy	0.347	هاتیوگا
voluptuous	joy	0.344	شهوانی
fruits	joy	0.344	میوه ها
cookies	joy	0.344	بیسکویت ها
manicure	joy	0.344	مانیکور
nowork	joy	0.344	هیچ کار
date	joy	0.344	تاریخ
newstart	joy	0.344	شروع خبر
hedonism	joy	0.344	لذت گرایی
pledge	joy	0.344	سوگند - تعهد
electric	joy	0.344	برقی
humble	joy	0.344	فروتن
roadtrip	joy	0.344	سفر جاده ای
thx	joy	0.344	ممنون
kiddos	joy	0.344	بچه ها
celebrity	joy	0.342	فرد مشهور
bridesmaid	joy	0.338	ساقدوش عروس
rhythm	joy	0.338	ریتم
spa	joy	0.333	آبگرم
snowday	joy	0.333	روز برفی
familiarity	joy	0.333	آشنایی
coffee	joy	0.333	قهوه
edification	joy	0.333	ساخت و ساز
garden	joy	0.333	باغ
renovation	joy	0.333	نوسازی
dawn	joy	0.333	سپیده دم
connoisseur	joy	0.333	خبره
gazing	joy	0.333	زل زدن
obliging	joy	0.333	الزام آور
partner	joy	0.333	شریک
foodie	joy	0.331	غذاخور
synchronize	joy	0.329	همگام سازی
tribulation	joy	0.328	مصیبت
psalm	joy	0.328	مزمور
pedicure	joy	0.328	پدیکور
noregrets	joy	0.328	پشیمان نیست
chirping	joy	0.328	چهچهه زدن
saint	joy	0.328	قدیس
healing	joy	0.328	شفا
carol	joy	0.328	سرود
true	joy	0.328	درست است، واقعی
hobby	joy	0.328	سرگرمی
amnesty	joy	0.328	عفو
respite	joy	0.324	مهلت دادن
recreational	joy	0.318	تفریحی
cousins	joy	0.318	پسرعموها
mellow	joy	0.318	ملایم
restorative	joy	0.318	مقوی
lazyday	joy	0.318	روز تنبلی
classics	joy	0.318	کلاسیک ها
reconciliation	joy	0.316	اصلاح
woods	joy	0.312	جنگل
progression	joy	0.312	پیشرفت
muchneeded	joy	0.312	بسیار مورد نیاز
sterling	joy	0.312	استرلینگ
dove	joy	0.312	کبوتر
simplify	joy	0.312	ساده کردن
fitness	joy	0.312	تناسب اندام
sunset	joy	0.312	غروب آفتاب
wisdom	joy	0.312	خرد
relight	joy	0.312	نور
living	joy	0.312	زندگي كردن
presto	joy	0.312	پرستو
playhouse	joy	0.312	خانه بازی
superman	joy	0.312	سوپرمن
pony	joy	0.312	تسویه حساب
recovery	joy	0.312	بهبود
crafts	joy	0.312	صنایع دستی
lord	joy	0.312	خداوند
deal	joy	0.312	معامله
improvement	joy	0.309	بهبود
infant	joy	0.309	نوزاد
absolution	joy	0.306	عفو
honest	joy	0.303	صادقانه
gently	joy	0.303	به آرامی
banquet	joy	0.303	ضیافت
established	joy	0.303	ایجاد
endless	joy	0.303	بی پایان
decorating	joy	0.303	تزئین
providing	joy	0.300	فراهم آوردن
lounging	joy	0.297	لم دادن
growth	joy	0.297	رشد
strolling	joy	0.297	قدم زدن
feat	joy	0.297	شاهکار
morals	joy	0.297	اخلاقیات
mine	joy	0.297	مال خودم
spending	joy	0.297	خرج کردن
light	joy	0.297	سبک
spiritual	joy	0.297	معنوی
quaint	joy	0.297	عجیب و غریب
fraternal	joy	0.297	برادرانه
notable	joy	0.297	قابل توجه
softly	joy	0.297	به نرمی
harvest	joy	0.297	محصول
yearning	joy	0.297	اشتیاق
breeze	joy	0.297	نسیم
joker	joy	0.297	جوکر
meditating	joy	0.297	مدیتیشن
fervor	joy	0.295	غیرت
quotes	joy	0.294	نقل قول ها
volunteer	joy	0.294	داوطلب
gain	joy	0.288	کسب کردن
resources	joy	0.288	منابع
create	joy	0.288	ایجاد کردن
psalms	joy	0.288	مزامیر
hippie	joy	0.288	هیپی
taoism	joy	0.288	تائوئیسم
midwife	joy	0.288	ماما
receiving	joy	0.287	دریافت
snowfall	joy	0.286	بارش برف
ocean	joy	0.286	اقیانوس
lsd	joy	0.286	lsd
hiking	joy	0.283	پیاده روی
evergreen	joy	0.281	همیشه سبز
destination	joy	0.281	مقصد
candid	joy	0.281	صریح
unwind	joy	0.281	باز کردن از پیچ
truce	joy	0.281	آتش بس
toast	joy	0.281	نان تست
chill	joy	0.281	سرد شدن
infinity	joy	0.281	بی نهایت
rested	joy	0.281	استراحت کرد
buzzing	joy	0.281	وزوز
venerable	joy	0.279	ارجمند
balance	joy	0.275	تعادل
retirement	joy	0.275	بازنشستگی
fireplace	joy	0.273	بخاری
buddha	joy	0.273	بودا
devout	joy	0.273	عابد
drinks	joy	0.273	نوشیدنی ها
rapt	joy	0.273	تسخیر کردن
swim	joy	0.273	شنا کردن
compensate	joy	0.273	جبران کردن
snowing	joy	0.271	باریدن برف
sublimation	joy	0.270	تصعید
fruity	joy	0.268	میوه ای
sunday	joy	0.266	یکشنبه
sketching	joy	0.266	طراحی
paragon	joy	0.266	پاراگراف
humility	joy	0.266	فروتنی
ministry	joy	0.266	وزارت
waves	joy	0.266	امواج
cathedral	joy	0.266	کلیسای جامع
sun	joy	0.266	آفتاب
yoga	joy	0.266	یوگا
fortitude	joy	0.266	صلابت
salute	joy	0.266	سلام
buddhism	joy	0.266	بودیسم
whim	joy	0.266	هوی و هوس
artwork	joy	0.265	اثر هنری
practiced	joy	0.264	تمرین کرد
clean	joy	0.260	تمیز
running	joy	0.258	در حال اجرا
clarity	joy	0.258	وضوح
found	joy	0.258	یافت
fitting	joy	0.258	مناسب
immerse	joy	0.258	غوطه ور کردن
exercise	joy	0.258	ورزش
food	joy	0.258	غذا
autumn	joy	0.254	فصل پاييز
fit	joy	0.250	مناسب
morning	joy	0.250	صبح
contagious	joy	0.250	مسری
outdoors	joy	0.250	بیرون از خانه
hardy	joy	0.250	مقاوم
candles	joy	0.250	شمع ها
advocacy	joy	0.250	دفاع
countryside	joy	0.250	حومه شهر
demonstrative	joy	0.250	نمایشی
football	joy	0.250	فوتبال
chirp	joy	0.250	چهچهچه
chilled	joy	0.250	سرد شده
undying	joy	0.250	بی مرگ
visitor	joy	0.250	بازدید کننده
clap	joy	0.250	کف زدن
diary	joy	0.250	دفتر خاطرات
ardent	joy	0.250	پرشور
